x_id,choice,outcome,subjID
62d17cefb21b3d098001bf790,2,1,pu348kGy
62d17cefb21b3d098001bf791,1,0,pu348kGy
62d17cefb21b3d098001bf792,2,0,pu348kGy
62d17cefb21b3d098001bf793,2,0,pu348kGy
62d17cefb21b3d098001bf794,2,0,pu348kGy
62d17cefb21b3d098001bf795,1,1,pu348kGy
62d17cefb21b3d098001bf796,1,0,pu348kGy
62d17cefb21b3d098001bf797,1,0,pu348kGy
62d17cefb21b3d098001bf798,2,0,pu348kGy
62d17cefb21b3d098001bf799,1,1,pu348kGy
62d17cefb21b3d098001bf7910,2,1,pu348kGy
62d17cefb21b3d098001bf7911,2,1,pu348kGy
62d17cefb21b3d098001bf7912,1,1,pu348kGy
62d17cefb21b3d098001bf7913,1,0,pu348kGy
62d17cefb21b3d098001bf7914,1,1,pu348kGy
62d17cefb21b3d098001bf7915,2,1,pu348kGy
62d17cefb21b3d098001bf7916,2,1,pu348kGy
62d17cefb21b3d098001bf7917,1,1,pu348kGy
62d17cefb21b3d098001bf7918,1,1,pu348kGy
62d17cefb21b3d098001bf7919,2,1,pu348kGy
62d17cefb21b3d098001bf7920,2,1,pu348kGy
62d17cefb21b3d098001bf7921,2,0,pu348kGy
62d17cefb21b3d098001bf7922,1,1,pu348kGy
62d17cefb21b3d098001bf7923,2,0,pu348kGy
62d17cefb21b3d098001bf7924,1,1,pu348kGy
62d17cefb21b3d098001bf7925,1,1,pu348kGy
62d17cefb21b3d098001bf7926,1,0,pu348kGy
62d17cefb21b3d098001bf7927,2,1,pu348kGy
62d17cefb21b3d098001bf7928,1,1,pu348kGy
62d17cefb21b3d098001bf7929,2,1,pu348kGy
62d17cefb21b3d098001bf7930,2,0,pu348kGy
62d17cefb21b3d098001bf7931,2,0,pu348kGy
62d17cefb21b3d098001bf7932,1,0,pu348kGy
62d17cefb21b3d098001bf7933,2,1,pu348kGy
62d17cefb21b3d098001bf7934,1,1,pu348kGy
62d17cefb21b3d098001bf7935,2,0,pu348kGy
62d17cefb21b3d098001bf7936,2,1,pu348kGy
62d17cefb21b3d098001bf7937,1,1,pu348kGy
62d17cefb21b3d098001bf7938,1,1,pu348kGy
62d17cefb21b3d098001bf7939,1,1,pu348kGy
62d17cefb21b3d098001bf7940,2,1,pu348kGy
62d17cefb21b3d098001bf7941,2,0,pu348kGy
62d17cefb21b3d098001bf7942,1,0,pu348kGy
62d17cefb21b3d098001bf7943,2,0,pu348kGy
62d17cefb21b3d098001bf7944,1,1,pu348kGy
62d17cefb21b3d098001bf7945,1,0,pu348kGy
62d17cefb21b3d098001bf7946,1,1,pu348kGy
62d17cefb21b3d098001bf7947,2,1,pu348kGy
62d17cefb21b3d098001bf7948,2,0,pu348kGy
62d17cefb21b3d098001bf7949,2,0,pu348kGy
62d17cefb21b3d098001bf7950,1,1,pu348kGy
62d17cefb21b3d098001bf7951,1,1,pu348kGy
62d17cefb21b3d098001bf7952,2,1,pu348kGy
62d17cefb21b3d098001bf7953,2,0,pu348kGy
62d17cefb21b3d098001bf7954,2,0,pu348kGy
62d17cefb21b3d098001bf7955,1,0,pu348kGy
62d17cefb21b3d098001bf7956,1,1,pu348kGy
62d17cefb21b3d098001bf7957,2,1,pu348kGy
62d17cefb21b3d098001bf7958,1,0,pu348kGy
62d17cefb21b3d098001bf7959,1,1,pu348kGy
62d17cefb21b3d098001bf7960,1,0,pu348kGy
